Date,Average Hourly Earnings,Average Weekly Hours (Private),Employment-Population Ratio,Labor Force Participation Rate,Total Nonfarm Payrolls,Unemployment Rate
2025-12-01,37.02,40.8,59.7,62.4,159526.0,4.4
2025-11-01,36.9,40.9,59.6,62.5,159476.0,4.5
2025-10-01,36.81,40.7,,,159420.0,
2025-09-01,36.65,40.7,59.7,62.5,159593.0,4.4
2025-08-01,36.58,40.7,59.6,62.3,159485.0,4.3
2025-07-01,36.43,40.7,59.6,62.2,159511.0,4.3
2025-06-01,36.31,40.6,59.7,62.3,159439.0,4.1
2025-05-01,36.23,40.7,59.7,62.4,159452.0,4.3
2025-04-01,36.08,40.7,60.0,62.6,159433.0,4.2
2025-03-01,36.02,40.8,59.9,62.5,159275.0,4.2
2025-02-01,35.9,40.6,59.9,62.5,159155.0,4.2
2025-01-01,35.83,40.5,60.1,62.6,159053.0,4.0
2024-12-01,35.68,40.5,59.9,62.5,158942.0,4.1
2024-11-01,35.61,40.5,59.8,62.4,158619.0,4.2
2024-10-01,35.48,40.5,60.0,62.5,158358.0,4.1
2024-09-01,35.33,40.6,60.1,62.7,158314.0,4.1
2024-08-01,35.23,40.5,60.0,62.7,158074.0,4.2
2024-07-01,35.07,40.5,60.0,62.7,158003.0,4.2
2024-06-01,35.0,40.7,60.0,62.6,157915.0,4.1
2024-05-01,34.89,40.7,60.1,62.6,157828.0,3.9
2024-04-01,34.75,40.3,60.2,62.6,157635.0,3.9
2024-03-01,34.67,40.6,60.3,62.7,157517.0,3.9
2024-02-01,34.54,40.4,60.2,62.6,157271.0,3.9
2024-01-01,34.47,40.0,60.2,62.5,157049.0,3.7
2023-12-01,34.31,40.4,60.1,62.5,156930.0,3.8
2023-11-01,34.19,40.7,60.4,62.8,156661.0,3.7
2023-10-01,34.07,40.6,60.2,62.6,156520.0,3.9
2023-09-01,33.99,40.5,60.4,62.7,156334.0,3.7
2023-08-01,33.89,40.6,60.4,62.8,156176.0,3.7
2023-07-01,33.84,40.5,60.4,62.6,156019.0,3.5
2023-06-01,33.69,40.5,60.3,62.6,155871.0,3.6
2023-05-01,33.52,40.5,60.3,62.6,155614.0,3.6
2023-04-01,33.42,40.6,60.4,62.6,155387.0,3.4
2023-03-01,33.28,40.4,60.4,62.6,155171.0,3.5
2023-02-01,33.16,40.6,60.3,62.5,155086.0,3.6
